Timestamp,EpisodeId,AgentName,AgentType,WinResult,FinalHP,InitialHP,BattleDuration,TotalActions,AverageExecutionTime,EnemyAgentName,AttackAttempts,AttackSuccesses,DefenseAttempts,DefenseSuccesses,DodgeAttempts,DodgeSuccesses,AttackSuccessRate,DefenseSuccessRate,DodgeSuccessRate,CumulativeRounds,CumulativeWins,WinPercentage
2025-06-09 16:34:53,EP_20250609_163437_0016,수비형 AI,Unknown,1.0,20.0,100.0,16.61,80,0.08,공격형 AI,56,6,9,6,15,2,0.107,0.667,0.133,16,4,25.0
2025-06-09 16:35:15,EP_20250609_163456_0017,공격형 AI,Unknown,1.0,40.0,100.0,19.27,53,0.11,수비형 AI,32,7,20,2,1,1,0.219,0.100,1.000,17,10,58.8
2025-06-09 16:35:15,EP_20250609_163456_0017,수비형 AI,Unknown,0.0,0.0,100.0,19.27,99,0.09,공격형 AI,77,5,7,7,15,2,0.065,1.000,0.133,17,4,23.5
2025-06-09 16:35:35,EP_20250609_163518_0018,공격형 AI,Unknown,0.0,0.0,100.0,16.97,69,0.07,수비형 AI,33,5,3,3,33,1,0.152,1.000,0.030,18,10,55.6
2025-06-09 16:35:35,EP_20250609_163518_0018,수비형 AI,Unknown,1.0,20.0,100.0,16.97,95,0.07,공격형 AI,59,6,23,6,13,2,0.102,0.261,0.154,18,5,27.8
2025-06-09 16:36:37,EP_20250609_163537_0019,공격형 AI,Unknown,0.0,20.0,100.0,60.02,65,0.09,수비형 AI,40,6,4,4,21,2,0.150,1.000,0.095,19,10,52.6
2025-06-09 16:36:37,EP_20250609_163537_0019,수비형 AI,Unknown,0.0,20.0,100.0,60.02,114,0.09,공격형 AI,92,5,7,7,15,2,0.054,1.000,0.133,19,5,26.3
2025-06-09 16:36:57,EP_20250609_163640_0020,공격형 AI,Unknown,1.0,20.0,100.0,17.31,48,0.10,수비형 AI,23,7,3,3,22,2,0.304,1.000,0.091,20,11,55.0
2025-06-09 16:36:57,EP_20250609_163640_0020,수비형 AI,Unknown,0.0,0.0,100.0,17.31,102,0.07,공격형 AI,79,5,7,7,16,2,0.063,1.000,0.125,20,5,25.0
2025-06-09 16:37:14,EP_20250609_163659_0021,공격형 AI,Unknown,1.0,60.0,100.0,14.29,13,0.23,수비형 AI,13,6,0,0,0,0,0.462,0.000,0.000,21,12,57.1
2025-06-09 16:37:14,EP_20250609_163659_0021,수비형 AI,Unknown,0.0,0.0,100.0,14.29,51,0.12,공격형 AI,32,5,6,6,13,1,0.156,1.000,0.077,21,5,23.8
2025-06-09 16:37:28,EP_20250609_163716_0022,공격형 AI,Unknown,1.0,60.0,100.0,11.69,12,0.21,수비형 AI,12,5,0,0,0,0,0.417,0.000,0.000,22,13,59.1
2025-06-09 16:37:28,EP_20250609_163716_0022,수비형 AI,Unknown,0.0,0.0,100.0,11.69,55,0.10,공격형 AI,35,4,5,5,15,1,0.114,1.000,0.067,22,5,22.7
2025-06-09 16:37:47,EP_20250609_163731_0023,공격형 AI,Unknown,1.0,40.0,100.0,16.28,62,0.06,수비형 AI,19,6,41,2,2,2,0.316,0.049,1.000,23,14,60.9
2025-06-09 16:37:47,EP_20250609_163731_0023,수비형 AI,Unknown,0.0,0.0,100.0,16.28,65,0.06,공격형 AI,35,5,15,6,15,1,0.143,0.400,0.067,23,5,21.7
2025-06-09 16:38:02,EP_20250609_163749_0024,공격형 AI,Unknown,1.0,60.0,100.0,12.80,15,0.18,수비형 AI,15,5,0,0,0,0,0.333,0.000,0.000,24,15,62.5
2025-06-09 16:38:02,EP_20250609_163749_0024,수비형 AI,Unknown,0.0,0.0,100.0,12.80,101,0.07,공격형 AI,81,3,5,5,15,1,0.037,1.000,0.067,24,5,20.8
2025-06-09 16:39:05,EP_20250609_163805_0025,공격형 AI,Unknown,0.0,40.0,100.0,60.01,45,0.10,수비형 AI,24,6,2,2,19,1,0.250,1.000,0.053,25,15,60.0
2025-06-09 16:39:05,EP_20250609_163805_0025,수비형 AI,Unknown,0.0,20.0,100.0,60.01,98,0.08,공격형 AI,82,5,9,7,7,2,0.061,0.778,0.286,25,5,20.0
2025-06-09 16:39:24,EP_20250609_163907_0026,공격형 AI,Unknown,0.0,0.0,100.0,16.42,43,0.08,수비형 AI,20,6,3,3,20,1,0.300,1.000,0.050,26,15,57.7
2025-06-09 16:39:24,EP_20250609_163907_0026,수비형 AI,Unknown,1.0,20.0,100.0,16.42,71,0.11,공격형 AI,43,6,6,6,22,2,0.140,1.000,0.091,26,6,23.1
2025-06-09 16:39:49,EP_20250609_163926_0027,공격형 AI,Unknown,0.0,0.0,100.0,23.15,94,0.07,수비형 AI,38,8,4,4,52,2,0.211,1.000,0.038,27,15,55.6
2025-06-09 16:39:49,EP_20250609_163926_0027,수비형 AI,Unknown,1.0,20.0,100.0,23.15,155,0.07,공격형 AI,119,7,23,9,13,2,0.059,0.391,0.154,27,7,25.9
2025-06-09 16:40:52,EP_20250609_163952_0028,공격형 AI,Unknown,0.0,40.0,100.0,60.00,43,0.08,수비형 AI,22,5,20,1,1,1,0.227,0.050,1.000,28,15,53.6
2025-06-09 16:40:52,EP_20250609_163952_0028,수비형 AI,Unknown,0.0,20.0,100.0,60.00,56,0.10,공격형 AI,37,4,5,5,14,2,0.108,1.000,0.143,28,7,25.0
2025-06-09 16:41:06,EP_20250609_164054_0029,공격형 AI,Unknown,1.0,60.0,100.0,11.12,73,0.03,수비형 AI,73,5,0,0,0,0,0.068,0.000,0.000,29,16,55.2
2025-06-09 16:41:06,EP_20250609_164054_0029,수비형 AI,Unknown,0.0,0.0,100.0,11.12,475,0.08,공격형 AI,328,4,5,5,142,1,0.012,1.000,0.007,29,7,24.1
